sample	weighted_NSTI	Location	Type
ENVGutDigesta1	0.269536719	Digesta	ENV
ENVGutDigesta2	0.263307367	Digesta	ENV
ENVGutDigesta3	0.331367745	Digesta	ENV
ENVGutTissue1	0.239107267	Tissue	ENV
ENVGutTissue2	0.170657236	Tissue	ENV
ENVGutTissue3	0.199289578	Tissue	ENV
LabGutDigesta1	0.086521977	Digesta	LAB
LabGutDigesta2	0.096149446	Digesta	LAB
LabGutDigesta3	0.061657885	Digesta	LAB
LabGutTissue1	0.138585967	Tissue	LAB
LabGutTissue2	0.145036288	Tissue	LAB
LabGutTissue3	0.138585967	Tissue	LAB